Name	source	expectedSex
Zora	https://www.vorname.com/maedchennamen.html	f
Mia	https://www.babyclub.de/vornamen/maedchennamen.html	f
Emma	https://www.babyclub.de/vornamen/maedchennamen.html	f
Sophie	https://www.babyclub.de/vornamen/maedchennamen.html	f
Emilia	https://www.babyclub.de/vornamen/maedchennamen.html	f
Mila	https://www.babyclub.de/vornamen/maedchennamen.html	f
Marie	https://www.babyclub.de/vornamen/maedchennamen.html	f
Lina	https://www.babyclub.de/vornamen/maedchennamen.html	f
Lena	https://www.babyclub.de/vornamen/maedchennamen.html	f
Leonie	https://www.babyclub.de/vornamen/maedchennamen.html	f
Hannah	https://www.babyclub.de/vornamen/maedchennamen.html	f
Stella	https://www.babyclub.de/vornamen/maedchennamen.html	f
Emily	https://www.babyclub.de/vornamen/maedchennamen.html	f
Anna	https://www.babyclub.de/vornamen/maedchennamen.html	f
Alina	https://www.babyclub.de/vornamen/maedchennamen.html	f
Lea	https://www.babyclub.de/vornamen/maedchennamen.html	f
Ella	https://www.babyclub.de/vornamen/maedchennamen.html	f
Lara	https://www.babyclub.de/vornamen/maedchennamen.html	f
Elina	https://www.babyclub.de/vornamen/maedchennamen.html	f
Amelie	https://www.babyclub.de/vornamen/maedchennamen.html	f
Sophia	https://www.babyclub.de/vornamen/maedchennamen.html	f
Ada	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86302	f
Adele	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86303	f
Adelina	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86304	f
Adriana	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86305	f
Agatha	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86306	f
Agathe	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86307	f
Agnes	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86308	f
Aida	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86309	f
Aileen	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86310	f
Alana	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86311	f
Alba	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86312	f
Alena	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86313	f
Alessa	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86314	f
Alessia	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86315	f
Alexa	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86316	f
Alexandra	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86317	f
Alexia	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86318	f
Alice	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86319	f
Alicia	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86320	f
Alida	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86321	f
